"","id","month","mon_hrs_played","mon_fr_ref","sub","money_paid","sword","guild","sw_a_g"
"1",1,0,9.76139961198209,0,0,0,0,0,0
"2",1,1,10.0056563871052,0,0,0,0,0,0
"3",1,2,10.5770205924897,0,0,0,1,0,0
"4",1,3,10.6829485121764,0,0,0,1,0,0
"5",1,4,12.3240561533418,0,0,0,1,0,0
"6",1,5,16.3409268196521,0,0,0,1,1,1
"7",1,6,17.688573313783,0,0,0,1,1,1
"8",1,7,18.334566753384,0,0,0,1,1,1
"9",1,8,18.5995237223233,0,0,0,1,1,1
"10",1,9,18.7011639536635,0,0,0,1,1,1
"11",1,10,18.7391460035724,0,0,0,1,1,1
"12",2,0,9.9878969495979,0,0,0,0,0,0
"13",2,1,9.69272124559404,0,0,0,0,0,0
"14",2,2,10.2963435267223,0,0,0,0,0,0
"15",2,3,10.2778731308347,0,0,0,0,0,0
"16",2,4,14.4878969495979,0,0,0,1,1,1
"17",2,5,16.5674241572679,0,0,0,1,1,1
"18",2,6,17.9150706513988,0,0,0,1,1,1
"19",2,7,18.5610640909998,0,0,0,1,1,1
"20",2,8,18.8260210599391,0,0,0,1,1,1
"21",2,9,18.9276612912793,0,0,0,1,1,1
"22",2,10,18.9656433411882,0,0,0,1,1,1
"23",3,0,10.7777837770894,0,0,0,0,0,0
"24",3,1,13.1950998057292,0,0,0,0,0,0
"25",3,2,11.8506100752885,0,0,0,1,1,1
"26",3,3,13.1982565694194,0,0,0,1,1,1
"27",3,4,15.2777837770894,0,0,0,1,1,1
"28",3,5,17.3573109847595,0,0,0,1,1,1
"29",3,6,18.7049574788904,0,0,0,1,1,1
"30",3,7,19.3509509184913,0,0,0,1,1,1
"31",3,8,19.6159078874306,0,0,0,1,1,1
"32",3,9,19.7175481187709,0,0,0,1,1,1
"33",3,10,19.7555301686797,0,0,0,1,1,1
"34",4,0,10.9890378459774,0,0,0,0,0,0
"35",4,1,11.5440597164673,0,0,0,0,0,0
"36",4,2,12.0618641441764,0,0,0,1,1,1
"37",4,3,13.4095106383073,0,0,0,1,1,1
"38",4,4,15.4890378459774,0,0,0,1,1,1
"39",4,5,17.5685650536474,0,0,0,1,1,1
"40",4,6,18.9162115477783,0,0,0,1,1,1
"41",4,7,19.5622049873793,0,0,0,1,1,1
"42",4,8,19.8271619563186,0,0,0,1,1,1
"43",4,9,19.9288021876588,0,0,0,1,1,1
"44",4,10,19.9667842375677,0,0,0,1,1,1
"45",5,0,12.7737700121782,0,0,0,0,1,0
"46",5,1,13.2006028707763,0,0,0,1,1,1
"47",5,2,13.8465963103773,0,0,0,1,1,1
"48",5,3,15.1942428045082,0,0,0,1,1,1
"49",5,4,17.2737700121782,0,0,0,1,1,1
"50",5,5,19.3532972198483,0,0,0,1,1,1
"51",5,6,20.7009437139792,0,0,0,1,1,1
"52",5,7,21.3469371535801,0,0,0,1,1,1
"53",5,8,21.6118941225194,0,0,0,1,1,1
"54",5,9,21.7135343538597,0,0,0,1,1,1
"55",5,10,21.7515164037685,0,0,0,1,1,1
"56",6,0,12.7777799652739,0,0,0,0,0,0
"57",6,1,13.204612823872,0,0,0,1,1,1
"58",6,2,13.8506062634729,0,0,0,1,1,1
"59",6,3,15.1982527576038,0,0,0,1,1,1
"60",6,4,17.2777799652739,0,0,0,1,1,1
"61",6,5,19.3573071729439,0,0,0,1,1,1
"62",6,6,20.7049536670748,0,0,0,1,1,1
"63",6,7,21.3509471066758,0,0,0,1,1,1
"64",6,8,21.615904075615,0,0,0,1,1,1
"65",6,9,21.7175443069553,0,0,0,1,1,1
"66",6,10,21.7555263568642,0,0,0,1,1,1
"67",7,0,9.9780749696678,0,0,0,1,0,0
"68",7,1,8.62334960616089,0,0,0,1,0,0
"69",7,2,10.8449693629955,0,0,0,1,0,0
"70",7,3,10.3504532625284,0,0,0,1,0,0
"71",7,4,10.1361555076872,0,0,0,1,0,0
"72",7,5,16.5576021773378,0,0,0,1,1,1
"73",7,6,17.9052486714687,0,0,0,1,1,1
"74",7,7,18.5512421110697,0,0,0,1,1,1
"75",7,8,18.816199080009,0,0,0,1,1,1
"76",7,9,18.9178393113492,0,0,0,1,1,1
"77",7,10,18.9558213612581,0,0,0,1,1,1
"78",8,0,8.62120944922506,0,0,0,0,0,0
"79",8,1,8.20632819885067,0,0,0,0,0,0
"80",8,2,6.91194063806929,0,0,0,0,0,0
"81",8,3,7.0059810111013,0,0,0,0,0,0
"82",8,4,6.33962244538546,0,0,0,0,0,0
