"","id","month","mon_hrs_played","mon_fr_ref","sub","money_paid","acct_open","sword","guild","sw_a_g"
"1",1,0,10.835414475259,0,0,0,1,1,1,1
"2",1,1,11.2622473338571,0,0,7.09623002945324,1,1,1,1
"3",1,2,11.9082407734581,0,1,5.83868589054037,1,1,1,1
"4",1,3,13.255887267589,0,0,7.42059791050223,1,1,1,1
"5",1,4,15.335414475259,0,0,5.1839500428935,1,1,1,1
"6",1,5,17.4149416829291,0,1,20.8142752009319,1,1,1,1
"7",1,6,18.76258817706,0,1,23.2076481688878,1,1,1,1
"8",1,7,19.4085816166609,0,0,5.50721779335992,1,1,1,1
"9",1,8,19.6735385856002,0,1,24.3925208077771,1,1,1,1
"10",1,9,19.7751788169405,0,1,23.9097050110408,1,1,1,1
"11",1,10,19.8131608668493,0,1,23.1723053074334,1,1,1,1
"12",2,0,10.6752896969734,0,0,0,1,0,0,0
"13",2,1,12.5139534011081,0,1,6.16817444143388,1,0,0,0
"14",2,2,11.7481159951725,0,1,8.15899680221221,1,1,1,1
"15",2,3,13.0957624893034,0,1,5.72654088193953,1,1,1,1
"16",2,4,15.1752896969734,0,0,5.73002470775767,1,1,1,1
"17",2,5,17.2548169046435,0,1,18.5629041234498,1,1,1,1
"18",2,6,18.6024633987744,0,1,23.1616040682405,1,1,1,1
"19",2,7,19.2484568383753,0,1,24.1184829251597,1,1,1,1
"20",2,8,19.5134138073146,0,1,24.2128892917986,1,1,1,1
"21",2,9,19.6150540386549,0,1,24.6254096753546,1,1,1,1
"22",2,10,19.6530360885637,0,1,25.2434037961954,1,1,1,1
"23",3,0,9.00777959266638,0,0,0,1,0,0,0
"24",3,1,8.27452984448816,0,0,4.99945199102582,1,0,0,0
"25",3,2,7.19498234717255,0,1,5.32369339263719,1,0,0,0
"26",3,3,7.5327275242052,0,0,3.11323468419675,1,0,0,0
"27",3,4,8.82264615340262,0,0,7.07080813630202,1,0,0,0
"28",3,5,8.80241474473222,0,1,6.13087334218647,1,0,0,0
"29",3,6,13.7216409116298,0,1,3.53875580008172,1,0,1,0
"30",3,7,17.5809467340683,0,1,23.9519664586924,1,1,1,1
"31",3,8,17.8459037030076,0,1,25.6576345004547,1,1,1,1
"32",3,9,17.9475439343478,0,1,24.6962641472733,1,1,1,1
"33",3,10,17.9855259842567,0,1,26.2728824252876,1,1,1,1
"34",4,0,9.87006061453204,0,0,0,1,0,1,0
"35",4,1,9.16892555953641,0,1,5.51130403077618,1,0,1,0
"36",4,2,10.9428869127311,0,0,4.16768192166033,1,1,1,1
"37",4,3,12.290533406862,0,0,2.86094514646959,1,1,1,1
"38",4,4,14.370060614532,0,1,14.5304873517707,1,1,1,1
"39",4,5,16.4495878222021,0,1,19.061774212729,1,1,1,1
"40",4,6,17.797234316333,0,1,23.8424056809874,1,1,1,1
"41",4,7,18.4432277559339,0,1,26.2028942210008,1,1,1,1
"42",4,8,18.7081847248732,0,1,25.1979571694677,1,1,1,1
"43",4,9,18.8098249562135,0,1,25.5819904261065,1,1,1,1
"44",4,10,18.8478070061223,0,1,24.6568716913282,1,1,1,1
"45",5,0,8.96685906497234,0,0,0,1,0,0,0
"46",5,1,11.5048214416719,0,1,9.53921980106307,1,0,0,0
"47",5,2,9.79303289487052,0,0,5.81690901265542,1,0,1,0
"48",5,3,8.58125148950024,0,0,5.60298479969073,1,0,1,0
"49",5,4,10.2788440366928,0,0,3.15950705965857,1,0,1,0
"50",5,5,15.5463862726424,0,1,18.8499665244234,1,1,1,1
"51",5,6,16.8940327667733,0,1,22.0703170011276,1,1,1,1
"52",5,7,17.5400262063742,0,1,23.6252003105546,1,1,1,1
"53",5,8,17.8049831753135,0,1,24.8108312881667,1,1,1,1
"54",5,9,17.9066234066538,0,1,26.3998138272236,1,1,1,1
"55",5,10,17.9446054565626,0,1,25.0229455029808,1,1,1,1
"56",6,0,9.52174019076342,0,0,0,1,0,1,0
"57",6,1,7.90192986331725,0,0,7.30477314231928,1,0,1,0
"58",6,2,10.0565829958578,0,0,7.66424504286491,1,0,1,0
"59",6,3,11.9422129830934,0,1,4.54388462560954,1,1,1,1
"60",6,4,14.0217401907634,0,0,3.83728407561548,1,1,1,1
"61",6,5,16.1012673984335,0,1,19.1154144196572,1,1,1,1
"62",6,6,17.4489138925644,0,1,22.689456363516,1,1,1,1
"63",6,7,18.0949073321653,0,1,24.0835305079323,1,1,1,1
"64",6,8,18.3598643011046,0,1,22.0982836179571,1,1,1,1
"65",6,9,18.4615045324449,0,1,26.2610679636308,1,1,1,1
"66",6,10,18.4994865823537,0,1,24.7707081027985,1,1,1,1
"67",7,0,10.3070775716003,0,0,0,1,0,0,0
"68",7,1,7.53673057573335,0,0,6.23307774516937,1,0,0,0
"69",7,2,9.0880576833977,0,0,2.80005304485783,1,0,0,0
"70",7,3,12.7661674189424,0,0,5.64752167344625,1,1,0,0
"71",7,4,13.7629570588025,0,1,9.40323841768907,1,1,0,0
"72",7,5,16.8866047792704,0,0,4.51203208995937,1,1,1,1
"73",7,6,18.2342512734013,0,1,23.8489306854541,1,1,1,1
"74",7,7,18.8802447130022,0,1,24.1271394785481,1,1,1,1
"75",7,8,19.1452016819415,0,1,24.1217010500132,1,1,1,1
"76",7,9,19.2468419132818,0,1,24.8293954390892,1,1,1,1
"77",7,10,19.2848239631906,0,1,24.4030366380615,1,1,1,1
"78",8,0,7.52765163849842,0,0,0,1,0,0,0
"79",8,1,6.58692619741861,0,0,4.98525833510846,1,0,0,0
"80",8,2,7.24161334293236,0,0,4.22666103911876,1,0,1,0
"81",8,3,8.07832561793832,0,0,4.64448378159651,1,0,1,0
"82",8,4,9.92433053307763,0,1,4.54428621813806,1,0,1,0
"83",8,5,10.9822151436986,0,1,4.50145772502955,1,0,1,0
"84",8,6,10.0861604344412,0,1,2.61575287869761,1,0,1,0
"85",8,7,9.98625302536306,0,1,0.681065916377891,1,0,1,0
"86",8,8,9.84601383010906,0,0,5.17195532373707,1,0,1,0
"87",8,9,16.4674159801799,0,1,25.3849808184086,1,1,1,1
"88",8,10,16.5053980300887,0,1,25.1403886216672,1,1,1,1
"89",9,0,8.77012369856328,0,0,0,1,0,1,0
"90",9,1,10.0332374106152,0,0,2.22448845379837,1,0,1,0
"91",9,2,9.84294999676234,0,0,5.52429259470493,1,1,1,1
"92",9,3,11.1905964908932,0,0,5.30026932913989,1,1,1,1
"93",9,4,13.2701236985633,0,1,5.41114060266929,1,1,1,1
"94",9,5,15.3496509062333,0,1,20.2723725007355,1,1,1,1
"95",9,6,16.6972974003642,0,1,21.7165511954483,1,1,1,1
"96",9,7,17.3432908399652,0,1,24.538591991647,1,1,1,1
"97",9,8,17.6082478089045,0,1,25.2692977772548,1,1,1,1
"98",9,9,17.7098880402447,0,1,24.8352073134687,1,1,1,1
"99",9,10,17.7478700901536,0,1,24.1145549569532,1,1,1,1
"100",10,0,10.1263875702414,0,0,0,1,0,0,0
"101",10,1,10.5950437682415,0,0,8.07401160015864,1,0,0,0
"102",10,2,10.5460181362088,0,0,4.23286550797943,1,0,0,0
"103",10,3,10.9104111482711,0,1,1.46127566779485,1,1,0,0
"104",10,4,11.6324271319114,0,0,3.98156296702709,1,1,0,0
"105",10,5,16.7059147779114,0,0,6.96370582888236,1,1,1,1
"106",10,6,18.0535612720423,0,1,24.3590869160502,1,1,1,1
"107",10,7,18.6995547116433,0,0,4.13426140567556,1,1,1,1
"108",10,8,18.9645116805826,0,1,25.657718148122,1,1,1,1
"109",10,9,19.0661519119228,0,1,25.8944120280654,1,1,1,1
"110",10,10,19.1041339618317,0,1,26.7349785989519,1,1,1,1
